userid	timestamp	artid	artname	traid	traname
user_000705	2009-05-03T12:55:00Z	e1f1e33e-2e4c-4d43-b91b-7064068d3283	Kiss	0138547f-374d-49d4-8f1c-9b2c8b5c65c0	X-Ray Eyes
user_000705	2009-05-03T12:51:28Z	e1f1e33e-2e4c-4d43-b91b-7064068d3283	Kiss	22ce9a32-3510-4c8e-8151-c044a62eb4fd	Hard Times
user_000705	2009-05-03T12:46:55Z	e1f1e33e-2e4c-4d43-b91b-7064068d3283	Kiss	22ce9a32-3510-4c8e-8151-c044a62eb4fd	Hard Times
user_000705	2009-05-03T12:42:17Z	e1f1e33e-2e4c-4d43-b91b-7064068d3283	Kiss	c386b85f-1bfe-4038-b323-cb8229ab2f8b	Magic Touch
user_000705	2009-05-03T12:37:53Z	e1f1e33e-2e4c-4d43-b91b-7064068d3283	Kiss	8ec9b4f8-2d1b-4616-9ae4-4711ca328fc3	Charisma
user_000705	2009-05-03T12:33:37Z	e1f1e33e-2e4c-4d43-b91b-7064068d3283	Kiss	ff47d82e-313d-4bd0-8e61-fe61124a361b	Dirty Livin'
user_000705	2009-05-03T12:29:39Z	e1f1e33e-2e4c-4d43-b91b-7064068d3283	Kiss	3621800b-87b7-43c6-b6a3-47ea4b658407	Sure Know Something
user_000705	2009-05-03T12:24:46Z	e1f1e33e-2e4c-4d43-b91b-7064068d3283	Kiss	91cc5010-e65b-4f49-94b5-1deed61cfcc7	2,000 Man
user_000705	2009-05-03T12:20:17Z	e1f1e33e-2e4c-4d43-b91b-7064068d3283	Kiss	daa13e72-9056-476f-b431-335b2c26842d	I Was Made For Lovin' You
user_000705	2009-05-03T12:16:20Z	33b3c323-77c2-417c-a5b4-af7e6a111cc9	The Jimi Hendrix Experience	1895c79d-ae5f-40bf-bc18-83fdcd8d2842	Burning Of The Midnight Lamp
user_000705	2009-05-03T12:12:35Z	33b3c323-77c2-417c-a5b4-af7e6a111cc9	The Jimi Hendrix Experience	1ae3c250-7b16-49d4-9c71-0928724eecce	Gypsy Eyes
user_000705	2009-05-03T12:08:26Z	33b3c323-77c2-417c-a5b4-af7e6a111cc9	The Jimi Hendrix Experience	fca63fe0-c9e6-4347-92b7-21f6cf79226c	Come On, Part 1
user_000705	2009-05-03T12:04:59Z	33b3c323-77c2-417c-a5b4-af7e6a111cc9	The Jimi Hendrix Experience	36beb31d-ed74-4a49-832f-a4a38dc96bab	Long Hot Summer Night
user_000705	2009-05-03T12:02:08Z	33b3c323-77c2-417c-a5b4-af7e6a111cc9	The Jimi Hendrix Experience	4ad6064e-7d54-49a2-a134-320a1612ee27	Little Miss Strange
user_000705	2009-05-03T11:47:07Z	33b3c323-77c2-417c-a5b4-af7e6a111cc9	The Jimi Hendrix Experience	40ffef8e-b851-473a-a239-08685eab22b0	Voodoo Chile
user_000705	2009-05-03T11:44:43Z	33b3c323-77c2-417c-a5b4-af7e6a111cc9	The Jimi Hendrix Experience	feb64d01-6e05-4974-bb44-0046deca1bdb	Crosstown Traffic
user_000705	2009-05-03T11:42:35Z	33b3c323-77c2-417c-a5b4-af7e6a111cc9	The Jimi Hendrix Experience	7f9b462a-8ac5-472d-a5aa-716b3b3d169c	Have You Ever Been (To Electric Ladyland)
user_000705	2009-05-03T11:41:13Z	33b3c323-77c2-417c-a5b4-af7e6a111cc9	The Jimi Hendrix Experience	88b57468-8d58-4310-b135-c94620fcfbc1	...And The Gods Made Love
user_000705	2009-05-02T09:24:28Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	788878e0-8965-489e-86e3-add4c1f3d134	Line Of Best Fit
user_000705	2009-05-02T09:19:58Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	7cfc403d-18e7-4b8e-b0c4-1864ca393fbb	Fake Frowns
user_000705	2009-05-02T09:15:03Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	34a2d7ad-6b3a-4cfc-b4ca-edfc55a6685b	Amputations
user_000705	2009-05-02T09:11:21Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	99db2ed6-4493-481c-ac20-54ad323cb04b	The Face That Launched 1000 Shits
user_000705	2009-05-02T09:07:44Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	269084ba-3065-4b43-a733-f491e618b26a	Sleep Spent
user_000705	2009-05-02T09:03:54Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	96fac269-5308-4aee-827f-d01a66674694	Pictures In An Exhibition
user_000705	2009-05-02T08:59:34Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	c29440d9-03e6-4e18-91d6-ef8bf1e1ca32	Your Bruise
user_000705	2009-05-02T08:56:55Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	ed55b695-976e-4898-8fde-51a8e3b0e262	Champagne From A Paper Cup
user_000705	2009-05-02T08:49:07Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	c5238d6d-9b04-496c-8674-4ea7a07aecd6	President Of What?
user_000705	2009-05-02T08:44:34Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	bf59dfef-03a8-4270-9456-50df79da56c2	Bend To Squares
user_000705	2009-05-01T19:08:37Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	788878e0-8965-489e-86e3-add4c1f3d134	Line Of Best Fit
user_000705	2009-05-01T19:04:07Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	7cfc403d-18e7-4b8e-b0c4-1864ca393fbb	Fake Frowns
user_000705	2009-05-01T18:59:12Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	34a2d7ad-6b3a-4cfc-b4ca-edfc55a6685b	Amputations
user_000705	2009-05-01T18:55:30Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	99db2ed6-4493-481c-ac20-54ad323cb04b	The Face That Launched 1000 Shits
user_000705	2009-05-01T18:51:53Z	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	269084ba-3065-4b43-a733-f491e618b26a	Sleep Spent
